Food Name,Calories,Protein,Fat,Carbohydrates
Rice,130,2.6,0.3,28
Eggs,78,6.3,4.4,0.7
Milk,68,3.6,4.8,4.9
Chicken breast,165,31,3.1,0
Apple,52,0.3,0.2,13.8
Spinach,23,2.9,0.3,3.4
Pork loin,250,20,16,0
Beef sirloin,254,26,15,0
Banana,105,1.3,0.3,27
Broccoli,34,2.8,0.3,6.6
Carrot,41,0.9,0.2,9.6
Tomato,18,0.9,0.2,3.9
Baked potato,86,2,0.1,20
Tofu,144,16.5,8.1,5.3
Oatmeal,389,13,6.9,66
Almonds,557,12.5,51.8,22.2
Salmon,100,20,1.5,0
Shrimp,84,18,0.7,0
Soy milk,76,4.7,2.5,8.4
Plain yogurt,61,4.8,2.8,4.8
Whole wheat bread,265,9.2,3.2,52.4
Whole wheat pasta,374,13.8,6.2,72.8
Dark chocolate,546,7.9,31.8,58.7
Potato chips,552,5.3,35.9,46.3
Vanilla ice cream,207,4.9,10.8,25.8
Cheese pizza,280,11,10,38
Hamburger,254,25,8,28
Chicken thigh,215,25,15,0
Avocado,160,2,14.7,7
Orange,47,1,0.2,11.4
Strawberries,32,0.7,0.3,8
Grapes,62,0.6,0.2,16
Lettuce,14,0.9,0.2,3
Cucumber,16,0.8,0.1,4
Celery,16,0.5,0.2,3.5
Bell pepper,31,1.1,0.3,6
Onion,40,1.1,0.1,9
Kidney beans,129,8.7,1.5,22.3
Black beans,132,8.3,1.1,21.1
Lentils,116,8.8,0.6,20.3
Chickpeas,164,9,3.1,27
Quinoa,120,4.4,2.0,18.5
Brown rice,112,2.7,0.5,23
Black rice,109,2.6,0.3,24
Couscous,176,3.7,1.3,36
Cottage cheese,98,11.3,4.3,4.6
Cheddar cheese,402,24.2,33.1,2.3
String cheese,80,6,5,1
Greek yogurt,120,17,0,14
Peanut butter,589,25,34.8,21
